,Unnamed: 0,COE-35,EDM-34,MDM-29,MSM-22,CED-41,EVD-19,ESD-17,MPD -15,MFD-17,MDS,CDS-9,EDS-8,SMT-14,Total,Unnamed: 15
0,,,,,,,,,,,,,,,,
1,GAVS,11,2,,1,7,,1,,,,,,,22.0,C
2,NOVAC TECHNOLOGY SOLUTIONS,0,5,0,4,1,4,0,0,0,,0,0,0,14.0,C
3,LT INFO TECH,5,4,1,3,,,,,,,,,,13.0,C
4,CONGRUENT SOLUTIONS PVT LTD,4,1,,2,1,,,,,,,,,8.0,OC
5,ADF,4,Yes,,,3,,,,,,,,,7.0,C
6,SAMSUNG R&D (CAMPUS),2,,,,3,,1,,,,,,,6.0,C
7,COVIAM,2,,,,3,,,,,,,,,5.0,OC
8,Urgitha Electronics,,,,,,3,1,,,,1,,,5.0,C
9,LT TECH SERVICES,1,2,,,,,,,,,,1,,4.0,C
10,MATHWORKS,,,,,3,1,,,,,,,,4.0,C
11,VASSAR LABS,2,1,,,1,,,,,,,,,4.0,C
12,"VIGNAN UNIVERSITY, AP",,,,,,,,,,,2,2,,4.0,
13,BUDDIHEALTH,Yes,Yes,Yes,Yes,3,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,3.0,C
14,LUCID SOFTWARE,2,1,,,,,,,,,,,,3.0,C
15,TIGER ANALYTICS,3,,,,,,,,,,,,,3.0,C
16,TRIMBLE,,,,,3,,,,,,,,,3.0,C
17,VIRTUSA,3,,,,,,,,,,,,,3.0,OC
18,VTV GOALLY,2,,,,1,,,,,,,,,3.0,C
19,ZENTRON LABS,,2,,1,,,,,,,,,,3.0,C
20,ADOBE,2,,,,,,,,,,,,,2.0,C
21,GOOGLE,1,,,,1,,,,,,,,,2.0,OC
22,IBM,1,1,,,,,,,,,,,,2.0,OC
23,MICROSOFT IDC,2,,,,,,,,,,,,,2.0,OC
24,NAVIS,2,,,,,,,,,,,,,2.0,C
25,"SAINT GOBAIN, CHENNAI",1,,,,,,,1,,,,,,2.0,C
26,SVP LASERS,,,,,,,,,1,1.0,,,,2.0,C
27,TEAMWARE 3EDGE,,,,,,,2,,,,,,,2.0,C
28,WABCO,,,,,,,1,1,,,,,,2.0,C
29,ZOHO,2,,,,,,,,,,,,,2.0,OC
30,Data Aces,,1,,,,,1,,,,,,,2.0,
31,ANKIDYNE,,,,,,,,,,,,,1,1.0,C
32,AUTOMATIONEDGE,Yes,Yes,,,1,,,,,,,,,1.0,C
33,BRAMHOS,,Yes,,1,,,,,,,,,,1.0,C
34,CGI,,,,,,1,,,,,,,,1.0,C
35,DELTAX,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,1,1.0,OC
36,Ford India,,,,,,,,,1,,,,,1.0,OC
37,MICROCHIP,1,,,,,,,,,,,,,1.0,C
38,MOTORQ,1,,,,,,,,,,,,,1.0,OC
39,SAINT GOBAIN PALAKKAD,,,1,,,,,,,,,,,1.0,C
40,STARTSMART LABS,,,,,1,,,,,,,,,1.0,C
41,TCS NQT,,,,,,,,,,,,1,,1.0,OC
42,TREDENCE,,,,,,,,1,,,,,,1.0,C
43,TUBE INVESTMENTS INDIA MURUGAPPA GROUP - GET - EDM,,1,,,,,,,,,,,,1.0,c
44,TUBE INVESTMENTS INDIA MURUGAPPA GROUP - GET - MECHANICAL,,,1,,,,,,,,,,,1.0,c
45,TVS MOTORS,,,,,,,,,1,,,,,1.0,OC
46,Ford Motors,,,,,,,,,1,,,,,1.0,Covid
47,Bipp Analytics,,,,,1,,,,,,,,,1.0,
48,AMD,,,,,1,,,,,,,,,1.0,PPO
49,Hitachi,,,,,1,,,,,,,,,1.0,OC
50,Bipp Analytics,,,,,,,,,,,,,,1.0,
51,Agnikul Cosmos,,,,,,,,,,,,,,1.0,
52,Alt view technologies Pvt Ltd,,,,,,,,,,,,,,1.0,
53,Byjus,,,,,,,,,,,,,,1.0,
54,Claritrics India Private Limited,,,,,,,,,,,,,,1.0,
55,Gavs,,,,,,,,,,,,,,1.0,
56,Gyan Data,,,,,,,,,,,,,,1.0,
57,Joveo Inc.,,,,,,,,,,,,,,1.0,
58,LTTS,,,,,,,,,,,,,,1.0,
59,Micelio,,,,,,,,,,,,,,1.0,
60,NatureX Technologies,,,,,,,,,,,,,,1.0,
61,Sion semiconductor,,,,,,,,,,,,,,1.0,
62,"Southern railway, Chennai",,,,,,,,,,,,,,1.0,
63,SVP Lasers,,,,,,,,,,,,,,1.0,
64,Viridis Farming,,,,,,,,,,,,,,1.0,
65,BRAKES INDIA,,,,,,,,,,,,,,0.0,c
66,COMMVAULT (INDIA) PVT LTD,Yes,Yes,,,Yes,Yes,Yes,,,,Yes,Yes,,0.0,C
67,Compro Technologies Pvt Ltd,,,,,,,,,,,,,,0.0,
68,CONGRUENT SOFTWARE TECHNOLOGIES,,,,,,,,,,,,,,0.0,
69,Delta X Campus,,,,,,,,,,,,,,0.0,C
70,ENTRAYN EDUCATION TECH,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,0.0,C
71,GYAN DATA PVT LTD,,,,,,,,,,,,,,0.0,C
72,INDIA HEALTH LINK,,,,,,,,,,,,,,0.0,C
73,Jaro Corporation,,,,,,,,,,,,,,0.0,C / OC
74,KRISAM AUTOMATION,,,,,,,,,,,,,,0.0,C
75,MOBIUS,,,,,,,,,,,,,,0.0,C
76,OneBanc Technologies Pvt Ltd,,,,,,,,,,,,,,0.0,OC
77,PAYPAL,0,,,,,,,,,,,,,0.0,C
78,QUANTRIUM,,,,,,,,,,,,,,0.0,C
79,SAMSUNG R&D (OFF CAMPUS),,,,,,,,,,,,,,0.0,OC
80,TECH MAHENDRA,0,,,,,,,,,,,,,0.0,OC
81,TENTH PLANET,,,,,,,,,,,,,,0.0,
82,TREDENCE 2,,,,,,,,,,,,,0,0.0,C
83,TWF,,,,,,,,,,,,,0,0.0,
84,WEST AGILE LABS HYDERABAD,,,,,,,,,,,,,,0.0,
85,SPI Global,,,,,,,,,,,,,,0.0,OC
86,Yalamanchi Manufacturing,,,,,,,,,,,,,,0.0,Covid
87,Lynk Logistics,,,,,,,,,,,,,,0.0,Covid
88,Bit Mapper Integration Technologies Pvt Ltd,,,,,,,,,,,,,,0.0,Covid
89,White Panda,,,,,,,,,,,,,,0.0,Covid
90,Congruent Technologies,,,,,,,,,,,,,,0.0,Covid
91,Alcheme Robotics,,,,,,,,,,,,,,,
92,Integra Software Services,,,,,,,,,,,,,,,
93,"Kherub, Hyderabad",,,,,,,,,,,,,,,
