,Company,COUNTA of Company
0,,0
1,Adenza,1
2,AFM BIGTECH PTE. LTD,1
3,Agnikul,1
4,Akash BYJU'S,1
5,AMD,11
6,Ankidyne,1
7,Aqfer,1
8,AQFER - Start Smart Labs,2
9,Autowiz,1
10,Bharat Electronics Limited,1
11,Boltzmann Labs,4
12,C DOT,1
13,Checktronix,1
14,Codeyoung,1
15,Congruent Technologies,4
16,Contentstack,3
17,Coverstack Group,1
18,Cummins,1
19,E-Con Systems (VisAI Labs),2
20,Entrayn,1
21,Equinx,2
22,Forsys,5
23,GAVS TECHNOLOGY,6
24,GE Digital,3
25,GreenMed Technologies,1
26,IBM,1
27,Infosys Engineering Analyst,1
28,KLA,6
29,KNEST MANUFACTURERES LLP,5
30,Krisam Automation,7
31,LATENTVIEW TECHNOLOGIES,2
32,LLM Appliances,1
33,Loyalty Juggernaut,1
34,Mathworks,7
35,MBit Wireless,1
36,Media.net,1
37,Mercedes Benz,2
38,Microchip,2
39,Mirana Innovations,1
40,Mu Sigma,11
41,Multicoreware,3
42,NOKIA,3
43,OPPO,2
44,Planetspark,2
45,Publicis Sapient,5
46,Quantrium Technologies,9
47,Raaho-Quick digital technologies,1
48,Radisys,4
49,Reliance JIO,1
50,Renault Nissan Technology,1
51,Saint Gobain,2
52,Siemens Technology Services,4
53,SVP Lasers,1
54,TCS,1
55,TCS INI,7
56,TCS NINJA,3
57,TCS R&I,3
58,Textron,2
59,Thrillophilia,3
60,Trimble,3
61,Truminds,1
62,Tvasta,5
63,TVS Motor,1
64,Valeo,6
65,Vassar Labs,3
66,Vignaan University,1
67,ZF Rane,7
68,Grand Total,190
